Ministry,Nombre,id,Partido
,Gabriel Ascencio Mansilla,221916,DC
,Alejandro Bernales Maldonado,223167,PL
,Miguel Ángel Calisto Águila,N/A,DC
,Aracely Leuquén Uribe,N/A,RN
,René Alinco Bustos,165200,Ind-PPD
,Gabriel Boric Font,221970,Ind-PH
,Sandra Amar Mancilla,219909,Ind-UDI
,Karim Bianchi Retamales,224400,Ind-PRSD
President,Sebastián Piñera,1,ind.
Ministry of the Interior and Public Security,Andrés Chadwick ,N/A,UDI
Ministry of Foreign Affairs,Roberto Ampuero ,166787,ind.
Ministry of National Defense,Alberto Espina ,N/A,RN
Ministry of Finance,Felipe Larraín Bascuñán ,N/A,ind.
Ministry General Secretariat of the Presidency,Gonzalo Blumel ,204613,Evópoli
Ministry General Secretariat of Government,Cecilia Pérez ,171946,RN
"Ministry of Economy, Development and Tourism",José Ramón Valente ,190915,ind.
Ministry of Social Development,Alfredo Moreno ,154285,ind.
Ministry of Education,Gerardo Varela ,224061,ind.
Ministry of Justice and Human Rights,Hernán Larraín ,N/A,UDI
Ministry of Labor and Social Forecast,Nicolás Monckeberg ,222740,RN
Ministry of Public Works,Juan Andrés Fontaine ,193506,ind.
Ministry of Health,Emilio Santelices ,205113,ind.
Ministry of Housing and Urban Planning,Cristián Monckeberg ,N/A,RN
Ministry of Agriculture,Antonio Walker ,175417,ind.
Ministry of Mining,Baldo Prokurica ,164078,RN
Ministry of Transport and Communications,Gloria Hutt ,223136,Evópoli
Ministry of National Assets,Felipe Ward ,223759,UDI
Ministry of Energy,Susana Jiménez ,223111,ind.
Ministry of the Environment,Marcela Cubillos ,161031,ind.
Ministry of Women and Gender Equality,Isabel Pla ,223591,ind.
Ministry of Sport,Pauline Kantor ,N/A,UDI
National Council of Culture and the Arts,Alejandra Pérez ,N/A,ind.
